################################################################################
# Statistics for individual neurons of network "short" gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         1          1         18   2.61744008E-04   2.61798302E-04   2.61766848E-04   1.55095978E-08
         1          2         18   1.86820035E-03   1.87009474E-03   1.86915451E-03   9.38865226E-07
         1          3         18  -1.02860970E-03  -1.02743319E-03  -1.02803038E-03   5.80950018E-07
         1          4         18  -1.27962809E-03  -1.27818081E-03  -1.27891494E-03   7.14878209E-07
         1          5         18   5.60678972E-04   5.61490109E-04   5.61090854E-04   3.93873048E-07
         1          6         18   1.43696587E-03   1.43857222E-03   1.43778006E-03   7.93738997E-07
         1          7         18   7.30674521E-04   7.31468935E-04   7.31076480E-04   3.92859145E-07
         1          8         18  -9.40884360E-04  -9.39774019E-04  -9.40338655E-04   5.47813012E-07
         1          9         18   5.69205292E-04   5.69819072E-04   5.69515691E-04   3.03605421E-07
         1         10         18   6.21364452E-06   6.29445314E-06   6.25268953E-06   3.49558760E-08
         1         11         18   1.47946423E-03   1.48120295E-03   1.48034814E-03   8.57962034E-07
         1         12         18   6.43001762E-05   6.44785846E-05   6.43912153E-05   8.26990629E-08
         1         13         18  -6.89538028E-04  -6.88695594E-04  -6.89124279E-04   4.14762807E-07
         1         14         18  -1.10626644E-03  -1.10494254E-03  -1.10561632E-03   6.52936457E-07
         1         15         18  -1.09401377E-03  -1.09272365E-03  -1.09337968E-03   6.36524369E-07
         1         16         18  -7.10344732E-04  -7.09430269E-04  -7.09895280E-04   4.48174332E-07
         1         17         18  -4.98297693E-04  -4.97756511E-04  -4.98030339E-04   2.67629443E-07
         1         18         18   1.66829841E-03   1.67034218E-03   1.66933839E-03   1.00609033E-06
         2          1         36   6.24979104E-04   1.24410493E-03   9.34577256E-04   3.12864529E-04
         2          2         36   9.10804813E-06   1.23388840E-05   1.07235222E-05   1.63532497E-06
         2          3         36   3.75524578E-04   7.48341461E-04   5.61954346E-04   1.88396865E-04
         2          4         36  -7.56679235E-04  -3.84678958E-04  -5.70699057E-04   1.87980526E-04
         2          5         36  -1.45150332E-04  -7.97061238E-05  -1.12430149E-04   3.30660666E-05
         2          6         36  -1.11376201E-03  -5.52477302E-04  -8.33153465E-04   2.83640723E-04
         2          7         36  -1.63668226E-04  -8.30586756E-05  -1.23367815E-04   4.07340196E-05
         2          8         36   2.27350130E-04   4.35732843E-04   3.31551099E-04   1.05296330E-04
         2          9         36   2.83132231E-04   5.77201300E-04   4.30185315E-04   1.48607778E-04
         2         10         36   2.32318350E-04   4.55588918E-04   3.43965424E-04   1.12823361E-04
         2         11         36   3.44518278E-04   6.86007723E-04   5.15282463E-04   1.72565858E-04
         2         12         36   3.60988277E-04   7.34663393E-04   5.47849246E-04   1.88836239E-04
         2         13         36   3.29488153E-04   6.60453517E-04   4.94990281E-04   1.67249321E-04
         2         14         36   4.81599919E-04   9.62247680E-04   7.21951630E-04   2.42888357E-04
         2         15         36  -3.06440332E-05  -1.38303056E-05  -2.22385417E-05   8.49768563E-06
         2         16         36   6.73220439E-05   1.18536128E-04   9.29299353E-05   2.58743891E-05
         2         17         36   2.92089700E-04   5.90838965E-04   4.41482589E-04   1.50971272E-04
         2         18         36  -7.98753941E-04  -4.02150516E-04  -6.00474564E-04   2.00416017E-04
